,Year,Rank,Movie,Worldwide,Domestic,%Domestic,Foreign,%Foreign
0,2019,1,Avengers: Endgame,2797800564 ,858373000 ,30.70,1939427564 ,69.30
1,2019,2,The Lion King,1655146969 ,543486894 ,32.80,1111660075 ,67.20
2,2019,3,Spider-Man: Far From Home,1131845802 ,390532085 ,34.50,741313717 ,65.50
3,2019,4,Captain Marvel,1128274794 ,426829839 ,37.80,701444955 ,62.20
4,2019,5,Toy Story 4,1073163682 ,433952080 ,40.40,639211602 ,59.60
5,2019,6,Aladdin,1050693953 ,355559216 ,33.80,695134737 ,66.20
6,2019,7,Joker,988735635 ,315735635 ,31.90,673000000 ,68.10
7,2019,8,Fast & Furious Presents: Hobbs & Shaw,758910100 ,173810100 ,22.90,585100000 ,77.10
8,2019,9,Ne Zha,700547754 ,3695533 ,0.50,696852221 ,99.50
9,2019,10,The Wandering Earth,699760773 ,5875487 ,0.80,693885286 ,99.20
10,2019,11,How to Train Your Dragon: The Hidden World,519896648 ,160799505 ,30.90,359097143 ,69.10
11,2019,12,It Chapter Two,462519656 ,211419656 ,45.70,251100000 ,54.30
12,2019,13,Maleficent: Mistress of Evil,434181232 ,100012127 ,23,334169105 ,77
13,2019,14,Pokémon Detective Pikachu,431705346 ,144105346 ,33.40,287600000 ,66.60
14,2019,15,The Secret Life of Pets 2,429434163 ,158257265 ,36.90,271176898 ,63.10
15,2019,16,"My People, My Country",420105485 ,2356683 ,0.60,417748802 ,99.40
16,2019,17,The Captain,407664445 ,702899 ,0.20,406961546 ,99.80
17,2019,18,Alita: Battle Angel,404852543 ,85710210 ,21.20,319142333 ,78.80
18,2019,19,Godzilla: King of the Monsters,385900138 ,110500138 ,28.60,275400000 ,71.40
19,2019,20,Once Upon a Time... in Hollywood,371192152 ,140878766 ,38,230313386 ,62
20,2019,21,Shazam!,364571656 ,140371656 ,38.50,224200000 ,61.50
21,2019,22,Dumbo,353284621 ,114766307 ,32.50,238518314 ,67.50
22,2019,23,John Wick: Chapter 3 - Parabellum,326667460 ,171015687 ,52.40,155651773 ,47.60
23,2019,24,Us,255105930 ,175005930 ,68.60,80100000 ,31.40
24,2019,25,Men in Black: International,253890701 ,80001807 ,31.50,173888894 ,68.50
25,2019,26,Dark Phoenix,252442974 ,65845974 ,26.10,186597000 ,73.90
26,2019,27,Glass,246985576 ,111035005 ,45,135950571 ,55
27,2019,28,The Bravest,238004304 ,290217 ,0.10,237714087 ,99.90
28,2019,29,Annabelle Comes Home,228552591 ,74152591 ,32.40,154400000 ,67.60
29,2019,30,Terminator: Dark Fate,202941367 ,51164755 ,25.20,151776612 ,74.80
30,2019,31,Better Days,198809935 ,989536 ,0.50,197820399 ,99.50
31,2019,32,Rocketman,195179299 ,96368160 ,49.40,98811139 ,50.60
32,2019,33,The Lego Movie 2: The Second Part,191306508 ,105806508 ,55.30,85500000 ,44.70
33,2019,34,The White Storm 2: Drug Lords,188092373 ,609461 ,0.30,187482912 ,99.70
34,2019,35,Downton Abbey,182050075 ,95850075 ,52.70,86200000 ,47.30
35,2019,36,Gemini Man,169257846 ,48135938 ,28.40,121121908 ,71.60
36,2019,37,Abominable,167457510 ,59357510 ,35.40,108100000 ,64.60
37,2019,38,The Addams Family,156747127 ,92647127 ,59.10,64100000 ,40.90
38,2019,39,Escape Room,155712077 ,57005601 ,36.60,98706476 ,63.40
39,2019,40,The Climbers,153782355 ,487157 ,0.30,153295198 ,99.70
40,2019,41,Yesterday,151286650 ,73286650 ,48.40,78000000 ,51.60
