,Market,Release Date,Opening,Gross
0,United States of America,26-Apr-19,357115007 ,858373000 
1,Austria,24-Apr-19,3563042 ,8376632 
2,Belgium,24-Apr-19,3141578 ,8682740 
3,Bulgaria,26-Apr-19,442037 ,1469984 
4,Croatia,25-Apr-19,545732 ,1144369 
5,Czechia,25-Apr-19,2534713 ,6610971 
6,Denmark,24-Apr-19,4223121 ,10254418 
7,Egypt,26-Apr-19,,1754341 
8,Finland,24-Apr-19,2137080 ,4938241 
9,France,24-Apr-19,24971474 ,62387891 
10,Germany,24-Apr-19,27108549 ,64319294 
11,Greece,25-Apr-19,719293 ,4175061 
12,Hungary,25-Apr-19,1869661 ,4476885 
13,Iceland,26-Apr-19,210341 ,749185 
14,Italy,24-Apr-19,19570574 ,34025303 
15,Lithuania,26-Apr-19,250594 ,627672 
16,Netherlands,24-Apr-19,5924591 ,15067561 
17,Nigeria,26-Apr-19,523126 ,1360313 
18,Norway,24-Apr-19,2563454 ,8144856 
19,Poland,25-Apr-19,4676158 ,10558455 
20,Portugal,25-Apr-19,1709377 ,4296991 
21,Romania,26-Apr-19,903796 ,3376295 
22,Serbia,25-Apr-19,,804153 
23,Slovakia,25-Apr-19,847357 ,1990548 
24,Slovenia,25-Apr-19,237429 ,611641 
25,South Africa,26-Apr-19,2374923 ,7167751 
26,Spain,26-Apr-19,13440594 ,32666285 
27,Sweden,24-Apr-19,4937120 ,11757454 
28,Switzerland,24-Apr-19,4061031 ,8710255 
29,Turkey,26-Apr-19,3027473 ,7920068 
30,Ukraine,25-Apr-19,1935477 ,5971461 
31,United Arab Emirates,25-Apr-19,5935919 ,12783189 
32,United Kingdom of Great Britain and Northern Ireland,25-Apr-19,55981204 ,114921662 
33,Argentina,25-Apr-19,6809670 ,17724843 
34,Bolivia (Plurinational State of),25-Apr-19,1136801 ,3617750 
35,Brazil,25-Apr-19,26363627 ,85667373 
36,Chile,25-Apr-19,6501934 ,18864424 
37,Colombia,25-Apr-19,6115286 ,17689425 
38,Mexico,26-Apr-19,31905293 ,77594725 
39,Paraguay,25-Apr-19,624968 ,1564327 
40,Uruguay,25-Apr-19,594720 ,1366731 
41,Venezuela (Bolivarian Republic of),26-Apr-19,149742 ,1001684 
42,Australia,24-Apr-19,24010504 ,59103419 
43,Hong Kong,24-Apr-19,,29330722 
44,India,26-Apr-19,26757337 ,62678476 
45,Indonesia,24-Apr-19,15427619 ,34775278 
46,Japan,26-Apr-19,13176307 ,55280047 
47,Malaysia,24-Apr-19,10059257 ,21043570 
48,New Zealand,24-Apr-19,4039510 ,9306545 
49,Philippines,24-Apr-19,17977175 ,32839486 
50,Russian Federation,29-Apr-19,15411511 ,46006725 
51,Singapore,24-Apr-19,5517581 ,14346820 
52,"Korea, Republic of",24-Apr-19,46940721 ,105229503 
53,"Taiwan, Province of China",24-Apr-19,12847762 ,29386075 
54,Thailand,24-Apr-19,14165523 ,27230829 
55,Viet Nam,26-Apr-19,2971259 ,11703305 
56,China,24-Apr-19,175961330 ,614316021 
