,title,revenues,genres
0,Cinderella,542351353,Drama/Family/Romance/Comedy
1,"I, Frankenstein",71154592,Thriller/Mystery/Horror/Crime
2,Source Code,147332697,Drama/Family/Romance/Comedy
3,Bridge of Spies,165478348,Biography/History/Documentary/War
4,The Unborn,76514050,Drama/Family/Romance/Comedy
5,Gravity,723192705,Fantasy/Sci-Fi
6,The Impossible,198087212,Biography/History/Documentary/War
7,Planes: Fire & Rescue,146965787,Animation/Fantasy
8,Journey 2: The Mysterious Island,335260290,Action/Adventure
9,Ip Man 3,156844753,Biography/History/Documentary/War
10,Old Dogs,96753696,Drama/Family/Romance/Comedy
11,Ne Zha,700547754,Animation/Fantasy
12,Trolls,346864462,Animation/Fantasy
13,Predators,127233108,Fantasy/Sci-Fi
14,The Last Witch Hunter,146936910,Action/Adventure
15,Fool's Gold,111231041,Thriller/Mystery/Horror/Crime
16,Black Swan,329398046,Drama/Family/Romance/Comedy
17,War Room,73256266,Drama/Family/Romance/Comedy
18,The Counsellor,71009334,Thriller/Mystery/Horror/Crime
19,Role Models,92380927,Drama/Family/Romance/Comedy
20,Moonlight,65046687,Drama/Family/Romance/Comedy
21,The Island,198326350,Fantasy/Sci-Fi
22,Anna Karenina,68929150,Drama/Family/Romance/Comedy
23,Thor: The Dark World,644783140,Marvel
24,The Incredible Hulk,263427551,Marvel
25,The Inbetweeners Movie,88025781,Drama/Family/Romance/Comedy
26,Paul,97984015,Drama/Family/Romance/Comedy
27,Argo,232325503,Biography/History/Documentary/War
28,Defiance,51155219,Biography/History/Documentary/War
29,Johnny English Strikes Again,158970776,Action/Adventure
30,The Book of Eli,157107755,Thriller/Mystery/Horror/Crime
31,Anchorman 2: The Legend Continues,171464676,Drama/Family/Romance/Comedy
32,Justin Bieber: Never Say Never,99036827,Biography/History/Documentary/War
33,Sex Tape,126069509,Drama/Family/Romance/Comedy
34,The Little Prince,97571250,Animation/Fantasy
35,X-Men: Days of Future Past,746045700,Thriller/Mystery/Horror/Crime
36,The Post,179769457,Biography/History/Documentary/War
37,Red Cliff,127814609,Biography/History/Documentary/War
38,The Equalizer 2,190400157,Thriller/Mystery/Horror/Crime
39,Tomorrowland,209035668,Drama/Family/Romance/Comedy
40,A Madea Family Funeral,74747725,Drama/Family/Romance/Comedy
41,Saving Mr. Banks,117867984,Biography/History/Documentary/War
42,Prisoners,122126687,Drama/Family/Romance/Comedy
43,The Princess and the Frog,267045765,Animation/Fantasy
44,A Quiet Place,340939361,Drama/Family/Romance/Comedy
