,Name,North Macedonia,Slovenia,Iceland,Middle East Other,Germany,Hong Kong,Peru,Romania,Hungary,Greece,South Africa,Jamaica,Netherlands,Czechia,Kuwait,Philippines,Portugal,Thailand,Trinidad & Tobago,Paraguay,Switzerland (Italian),Slovakia,Poland,Bahrain,Nigeria,Lithuania,Russia,Bolivia (Plurinational State of),Colombia,Chile,Oman,East Africa,Belgium,Panama,"Korea, Republic of",Switzerland (German),Israel,Finland,Malaysia,Indonesia,Ireland,Ecuador,Uruguay,Ghana,China,Switzerland (French),Ukraine,Bulgaria,Russian Federation,Jordan,Turkey,Qatar,Dominican Republic,Venezuela (Bolivarian Republic of),Sweden,Singapore,United States of America,"Taiwan, Province of China",India,Viet Nam,United Arab Emirates,Kenya,Estonia,Switzerland,Argentina,Japan,United Kingdom of Great Britain and Northern Ireland,New Zealand,Cyprus,Croatia,Egypt,Serbia,Latvia,Mongolia,Australia,Central America+,Italy,Lesser Antilles,Mexico,Czech Republic/Slovakia,Pakistan,Norway,Lebanon,Aruba,Spain,France,Denmark,South Africa/Nigeria,Brazil,Austria
0,Ant-Man,0,35601 ,183341 ,0,5917308 ,6992049 ,2883625 ,0,0,361113 ,748336 ,0,1850753 ,618895 ,0,5243134 ,789416 ,3341724 ,0,0,0,146223 ,1300023 ,0,96199 ,59705 ,0,589218 ,1872949 ,1280378 ,0,0,1239587 ,0,21120665 ,528386 ,1336529 ,595592 ,6747317 ,0,0,1354260 ,94883 ,361113 ,105370038 ,389498 ,848150 ,187167 ,11500000 ,206685 ,0,0,0,6781787 ,2138644 ,4514252 ,180202163 ,11100000 ,1629855 ,2054218 ,0,118525 ,111047 ,343811 ,4126139 ,9670913 ,25190193 ,707807 ,0,164337 ,0,66156 ,57263 ,0,10901077 ,0,5290741 ,0,15100000 ,0,0,1363039 ,337940 ,0,4146982 ,13562428 ,918472 ,0,12431089 ,787916 
1,Ant-Man and the Wasp,0,74081 ,233790 ,0,9424892 ,7663339 ,0,721491 ,988917 ,507445 ,1351446 ,0,2655111 ,1174057 ,0,5818634 ,903713 ,5200914 ,0,165264 ,0,348420 ,2431877 ,0,0,93014 ,0,715760 ,2900411 ,2464969 ,0,0,1327697 ,0,42384003 ,0,0,768487 ,5709793 ,10005439 ,0,0,131780 ,0,121203074 ,0,1373800 ,226090 ,13024266 ,0,1108544 ,0,0,3433189 ,1967173 ,4089037 ,216648740 ,9715007 ,6399126 ,0,3233078 ,0,0,1256245 ,2250863 ,11595269 ,22941205 ,1977609 ,0,175516 ,0,0,0,0,14706863 ,0,5815017 ,0,14955084 ,0,0,1428924 ,0,0,6869063 ,14715801 ,1067087 ,0,13010094 ,1518401 
2,Avengers Age of Ultron,0,122335 ,371887 ,0,31193932 ,17155906 ,7025935 ,1137226 ,1980532 ,1776109 ,3276734 ,0,5465221 ,2011520 ,0,14097441 ,1841706 ,8850822 ,0,0,0,588510 ,3967269 ,562690 ,273301 ,176271 ,0,2278266 ,9955023 ,6942365 ,359221 ,0,3313943 ,0,78286828 ,2717245 ,2021296 ,1338700 ,13390227 ,0,0,5590716 ,458022 ,0,240110000 ,1307885 ,1909793 ,645121 ,34319424 ,361851 ,5864977 ,0,0,18531156 ,5240559 ,9904467 ,459005868 ,18417745 ,16695001 ,5259089 ,3166819 ,317574 ,261445 ,0,9280502 ,26373434 ,62974363 ,1808028 ,0,348389 ,1218558 ,190746 ,195571 ,0,30969152 ,0,18120047 ,0,50940433 ,0,0,4770579 ,542714 ,0,13640131 ,34270887 ,4578163 ,0,47862465 ,4086924 
3,Avengers Endgame,0,611641 ,749185 ,0,64319294 ,29330722 ,0,3376295 ,4476885 ,4175061 ,7167751 ,0,15067561 ,6610971 ,0,32839486 ,4296991 ,27230829 ,0,1564327 ,0,1990548 ,10558455 ,0,1360313 ,627672 ,0,3617750 ,17689425 ,18864424 ,0,0,8682740 ,0,105229503 ,0,0,4938241 ,21043570 ,34775278 ,0,0,1366731 ,0,614316021 ,0,5971461 ,1469984 ,46006725 ,0,7920068 ,0,0,1001684 ,11757454 ,14346820 ,858373000 ,29386075 ,62678476 ,11703305 ,12783189 ,0,0,8710255 ,17724843 ,55280047 ,114921662 ,9306545 ,0,1144369 ,1754341 ,804153 ,0,0,59103419 ,0,34025303 ,0,77594725 ,0,0,8144856 ,0,0,32666285 ,62387891 ,10254418 ,0,85667373 ,8376632 
4,Avengers Infinity War,0,325818 ,688359 ,0,45398141 ,20585253 ,0,2494062 ,3172176 ,2820813 ,5552131 ,0,10430994 ,4400723 ,0,23295180 ,2823586 ,17944798 ,0,1114669 ,0,1304762 ,7367423 ,0,0,406233 ,0,3166034 ,13268925 ,14607578 ,0,0,5654123 ,0,88506046 ,0,0,3376481 ,17325511 ,25288929 ,0,0,816628 ,0,359543153 ,0,3654152 ,982669 ,34597189 ,0,5696347 ,0,0,6093475 ,8074716 ,12195638 ,678815482 ,21588140 ,43594456 ,0,10070159 ,0,0,5553658 ,8064697 ,33881648 ,96640433 ,7092223 ,0,769917 ,0,280036 ,0,0,46825158 ,0,22837545 ,0,60058771 ,0,0,5693803 ,0,0,24809385 ,47689983 ,6853155 ,0,66684469 ,5690732 
5,Black Panther,0,213891 ,499124 ,0,23392484 ,8636071 ,0,1927259 ,1565256 ,1236996 ,8000254 ,0,9975474 ,2104610 ,0,9743847 ,1966013 ,8996694 ,0,376976 ,0,690443 ,3601530 ,0,0,232647 ,0,1312260 ,6797886 ,4942845 ,0,0,3851510 ,0,42859368 ,0,0,2202472 ,10251556 ,12448743 ,0,0,294091 ,0,105062459 ,0,2203288 ,640668 ,19265532 ,0,2589069 ,0,0,1023582 ,7440220 ,7429588 ,700059566 ,12778780 ,10668490 ,0,6971750 ,0,0,3840989 ,3059469 ,14655352 ,70631008 ,4970091 ,0,446454 ,0,309632 ,0,0,31939868 ,0,8953417 ,0,28322788 ,0,0,4245447 ,0,0,9716813 ,33114492 ,4801806 ,0,36942425 ,2839865 
6,Captain America Civil War,0,104910 ,337237 ,0,21770093 ,15473511 ,0,1162072 ,0,0,2132347 ,0,4388326 ,1459184 ,0,14195000 ,1528426 ,11956000 ,0,0,0,486912 ,2691473 ,0,0,136836 ,0,0,7072395 ,6784327 ,0,0,2489851 ,0,62859896 ,1793551 ,0,1431062 ,10685000 ,0,0,0,0,0,180794517 ,752167 ,1429130 ,516255 ,16557300 ,0,5051436 ,0,0,0,3606960 ,8396857 ,408084349 ,16397475 ,0,0,5963288 ,0,0,3020845 ,8314077 ,24366759 ,53779860 ,1406107 ,0,0,0,0,0,0,25200229 ,0,12963449 ,0,41420350 ,0,0,2520919 ,0,0,11354178 ,23219052 ,3084144 ,0,40802843 ,2844970 
7,Captain America The First Avenger,0,68827 ,203750 ,0,4872496 ,2496989 ,2388006 ,278732 ,505909 ,767589 ,1041847 ,0,1632726 ,352470 ,0,3577307 ,1508941 ,2484526 ,0,0,0,94550 ,453329 ,0,60118 ,56082 ,0,369499 ,2777753 ,1619307 ,0,41927 ,1034834 ,,3814179 ,0,723196 ,312658 ,2999710 ,2046208 ,0,1490660 ,92170 ,17950 ,0,0,619293 ,242275 ,8638710 ,0,1081033 ,0,0,1081258 ,1504719 ,3559632 ,176654505 ,6322666 ,121605 ,598051 ,1330549 ,0,96669 ,,3537279 ,3431374 ,14752839 ,1466314 ,,134319 ,110427 ,32734 ,64654 ,0,11108979 ,0,8601080 ,0,20224903 ,0,0,1413442 ,173417 ,0,7714453 ,10284742 ,1053304 ,0,20681912 ,721073 
8,Captain America The Winter Soldier,0,80914 ,234458 ,0,12477139 ,7292579 ,3045013 ,0,1046447 ,1051962 ,1409597 ,0,2615386 ,966467 ,0,7048065 ,1048121 ,5078880 ,0,0,0,245956 ,1382916 ,0,69744 ,0,0,801888 ,3047666 ,2278502 ,0,164529 ,1675926 ,0,30177601 ,0,1223804 ,825586 ,8404017 ,0,0,3051240 ,212788 ,0,115620000 ,0,846367 ,372510 ,14948380 ,0,2363940 ,0,0,10076143 ,2123252 ,6012468 ,255447104 ,0,4234349 ,0,3932053 ,0,0,0,4575831 ,6628830 ,32230026 ,660494 ,0,179012 ,423545 ,73124 ,0,0,18390356 ,0,9732200 ,0,25720282 ,0,0,1836203 ,311894 ,0,7763694 ,16891973 ,1891273 ,0,28319218 ,1345894 
9,Captain Marvel,0,193749 ,394116 ,0,24309763 ,10193610 ,0,1676696 ,2100452 ,1564544 ,3476490 ,0,6627859 ,2917784 ,0,12492800 ,1809207 ,11324752 ,0,554443 ,0,874940 ,4512068 ,0,662502 ,214095 ,0,1565527 ,8405529 ,7238907 ,0,0,3594772 ,0,42920725 ,0,0,2080074 ,10947027 ,19409550 ,0,0,481561 ,0,154070663 ,0,3099205 ,537314 ,20127342 ,0,3245267 ,0,0,373082 ,4744391 ,7563874 ,426829839 ,13076926 ,14407369 ,4008703 ,5771044 ,0,0,3473564 ,5419493 ,17752989 ,51792440 ,4106843 ,0,457199 ,0,288269 ,0,0,29462704 ,0,11458061 ,0,33314134 ,0,0,3317161 ,0,0,14700541 ,27093603 ,3546468 ,0,38152771 ,3548556 
