,Title,Year,Metascore,imdbRating,Domestic,International
0,Avengers: Endgame,2019,3.9000000000000004,4.25,36,64
1,Spider-Man: Far from Home,2019,3.4499999999999997,3.8,36,64
2,Captain Marvel,2019,3.2,3.5,34,66
3,Avengers: Infinity War,2018,3.4000000000000004,4.25,32,68
4,Black Panther,2018,4.4,3.65,35,65
5,Ant-Man and the Wasp,2018,3.5,3.55,54,46
6,Spider-Man: Homecoming,2017,3.65,3.7,38,62
7,Guardians of the Galaxy Vol2,2017,3.35,3.8,51,49
8,Thor: Ragnarok,2017,3.7,3.95,38,62
9,Captain America: Civil War,2016,3.75,3.9000000000000004,39,61
10,Doctor Strange,2016,3.5999999999999996,3.75,36,64
11,Avengers: Age of Ultron,2015,3.3000000000000003,3.65,47,53
12,Ant-Man,2015,3.2,3.65,46,54
13,Guardians of the Galaxy,2014,3.8,4.0,55,45
14,Captain America: The Winter Soldier,2014,3.5,3.85,53,47
15,Iron Man 3,2013,3.1,3.5999999999999996,35,65
16,Thor: The Dark World,2013,2.7,3.45,35,65
17,The Avengers,2012,3.4499999999999997,4.0,38,62
18,Thor,2011,2.8499999999999996,3.5,43,57
19,Captain America: The First Avenger,2011,3.3000000000000003,3.45,51,49
20,Iron Man 2,2010,2.8499999999999996,3.5,43,57
21,Iron Man,2008,3.95,3.95,38,62
22,The Incredible Hulk,2008,3.05,3.35,34,66
