,Market,Date,Opening,Gross
1,United States of America,17-Jun-11,53174303 ,116601172 
4,Austria,28-Jul-11,267550 ,784489 
5,Belgium,3-Aug-11,478585 ,1003384 
6,Bulgaria,2-Sep-11,32186 ,73133 
7,Croatia,11-Aug-11,25331 ,82610 
8,Czechia,18-Aug-11,38540 ,94635 
9,Denmark,18-Aug-11,,400521 
10,East Africa,1-Jul-11,8132 ,29989 
11,Egypt,15-Jun-11,43945 ,166999 
12,Finland,5-Aug-11,86696 ,201967 
13,France,10-Aug-11,3277765 ,7594611 
14,Germany,28-Jul-11,1933798 ,4636414 
15,Greece,25-Aug-11,199175 ,487470 
16,Hungary,11-Aug-11,112530 ,257011 
17,Iceland,3-Aug-11,17843 ,75103 
18,Israel,4-Aug-11,93990 ,240632 
19,Italy,31-Aug-11,1197183 ,3162104 
20,Latvia,26-Aug-11,9466 ,28933 
21,Lebanon,16-Jun-11,37512 ,90518 
22,Netherlands,4-Aug-11,342466 ,811861 
23,Norway,5-Aug-11,297128 ,650373 
24,Poland,29-Jul-11,161032 ,359747 
25,Portugal,18-Aug-11,111851 ,271932 
26,Romania,28-Jul-11,84256 ,207911 
27,Serbia,4-Aug-11,4579 ,21076 
28,Slovakia,11-Aug-11,15617 ,15617 
29,Slovenia,11-Aug-11,9325 ,34855 
30,South Africa,24-Jun-11,381148 ,947398 
31,Spain,29-Jul-11,1667402 ,3765296 
32,Sweden,29-Jun-11,,846061 
33,Turkey,26-Aug-11,138061 ,438474 
34,Ukraine,16-Jun-11,144417 ,335184 
35,United Arab Emirates,16-Jun-11,711390 ,1278216 
36,United Kingdom of Great Britain and Northern Ireland,17-Jun-11,4005911 ,10082852 
39,Argentina,11-Aug-11,727360 ,2346778 
40,Bolivia (Plurinational State of),18-Aug-11,87842 ,272140 
41,Brazil,19-Aug-11,3365005 ,10266555 
42,Chile,11-Aug-11,443829 ,1121215 
43,Colombia,19-Aug-11,813655 ,2225434 
44,Ecuador,19-Aug-11,399160 ,1256644 
45,Mexico,12-Aug-11,4647930 ,12470854 
46,Peru,11-Aug-11,587439 ,1590277 
47,Uruguay,19-Aug-11,34877 ,116370 
48,Venezuela (Bolivarian Republic of),2-Sep-11,625563 ,2663058 
51,Australia,11-Aug-11,3151905 ,7006138 
52,Hong Kong,16-Jun-11,729386 ,1468456 
53,Indonesia,5-Oct-11,228997 ,451022 
54,Japan,10-Sep-11,551846 ,551846 
55,Malaysia,16-Jun-11,1256577 ,2735227 
56,New Zealand,16-Jun-11,594367 ,1331689 
57,Philippines,16-Jun-11,1651953 ,3086785 
58,Russian Federation,16-Jun-11,2454576 ,4863834 
59,Singapore,16-Jun-11,1373577 ,2654412 
60,"Korea, Republic of",16-Jun-11,843698 ,1523125 
61,"Taiwan, Province of China",18-Jun-11,448413 ,1385482 
62,Thailand,16-Jun-11,632853 ,1280019 
