,Market,Date,Opening,Gross
1,United States of America,18-Jul-08,158411483 ,533345358 
4,Austria,22-Aug-08,1458636 ,5108788 
5,Belgium,23-Jul-08,989295 ,4435611 
6,Bulgaria,25-Jul-08,125638 ,325890 
7,Croatia,24-Jul-08,,552373 
8,Czechia,7-Aug-08,275518 ,1078226 
9,Denmark,23-Jul-08,1164372 ,7302163 
10,East Africa,25-Jul-08,43977 ,182196 
11,Egypt,23-Jul-08,,709987 
12,Estonia,25-Jul-08,38834 ,239130 
13,Finland,25-Jul-08,634998 ,3541780 
14,France,13-Aug-08,9731117 ,27514612 
15,Germany,21-Aug-08,10444338 ,29669980 
16,Greece,17-Jul-08,1080132 ,3807925 
17,Hungary,7-Aug-08,447959 ,1378010 
18,Iceland,25-Jul-08,149763 ,743484 
19,Israel,24-Jul-08,,2521967 
20,Italy,23-Jul-08,3109603 ,13871401 
21,Kuwait,24-Jul-08,,849132 
22,Latvia,25-Jul-08,31738 ,218110 
23,Lebanon,24-Jul-08,73367 ,383522 
24,Lithuania,25-Jul-08,31832 ,156823 
25,Netherlands,24-Jul-08,1355305 ,7220399 
26,Nigeria,25-Jul-08,16379 ,50134 
27,Norway,25-Jul-08,1274083 ,6641010 
28,Poland,8-Aug-08,959534 ,3798738 
29,Portugal,24-Jul-08,681431 ,2163700 
30,Romania,25-Jul-08,,499047 
31,Serbia,24-Jul-08,22921 ,171844 
32,Slovakia,24-Jul-08,72125 ,260188 
33,Slovenia,24-Jul-08,47501 ,278100 
34,South Africa,25-Jul-08,409596 ,1787300 
35,Spain,13-Aug-08,4429137 ,16318208 
36,Sweden,25-Jul-08,1403793 ,7332500 
37,Switzerland,25-Jul-08,19313 ,4070124 
38,Turkey,25-Jul-08,793203 ,3002678 
39,Ukraine,14-Aug-08,229390 ,561607 
40,United Arab Emirates,24-Jul-08,947564 ,2542485 
41,United Kingdom of Great Britain and Northern Ireland,25-Jul-08,22285591 ,89066002 
44,Argentina,17-Jul-08,1032069 ,5480477 
45,Bolivia (Plurinational State of),17-Jul-08,101228 ,403400 
46,Brazil,18-Jul-08,4444201 ,20156555 
47,Central America,18-Jul-08,,1572416 
48,Chile,17-Jul-08,805318 ,3239830 
49,Colombia,18-Jul-08,690963 ,3651300 
50,Ecuador,24-Jul-08,,1175373 
51,Mexico,18-Jul-08,7027471 ,24966893 
52,Peru,17-Jul-08,406675 ,1451401 
53,Uruguay,18-Jul-08,71107 ,316969 
54,Venezuela (Bolivarian Republic of),18-Jul-08,547764 ,3488816 
57,Australia,16-Jul-08,11423309 ,39880001 
58,Hong Kong,17-Jul-08,2107626 ,7549781 
59,India,18-Jul-08,,3650589 
60,Indonesia,18-Jul-08,,2784330 
61,Japan,9-Aug-08,3093780 ,14574849 
62,Malaysia,17-Jul-08,993255 ,2662579 
63,New Zealand,24-Jul-08,1352762 ,4624100 
64,Philippines,17-Jul-08,1388090 ,3267510 
65,Russian Federation,14-Aug-08,3470174 ,8589052 
66,Singapore,17-Jul-08,1538640 ,3637103 
67,"Korea, Republic of",7-Aug-08,5042738 ,24701822 
68,"Taiwan, Province of China",16-Jul-08,1152164 ,6749386 
69,Thailand,17-Jul-08,952554 ,2633488 
