,Market,Date,Opening,Gross
1,United States of America,6-Mar-09,55214334 ,107509799 
4,Austria,6-Mar-09,270362 ,736009 
5,Belgium,4-Mar-09,453752 ,1223314 
6,Bulgaria,13-Mar-09,47485 ,108274 
7,Croatia,19-Mar-09,35895 ,105768 
8,Cyprus,6-Mar-09,,15293 
9,Czechia,5-Mar-09,89509 ,297069 
10,Denmark,20-Mar-09,376517 ,1036664 
11,Egypt,11-Mar-09,38592 ,90697 
12,Estonia,13-Mar-09,14630 ,38698 
13,Finland,6-Mar-09,195542 ,754219 
14,France,4-Mar-09,2494678 ,5869005 
15,Germany,5-Mar-09,2021588 ,5292211 
16,Greece,12-Mar-09,439925 ,839672 
17,Hungary,5-Mar-09,100767 ,246933 
18,Iceland,13-Mar-09,54765 ,124215 
19,Israel,5-Mar-09,69852 ,277922 
20,Italy,6-Mar-09,1482474 ,3721232 
21,Latvia,6-Mar-09,17809 ,49658 
22,Lebanon,5-Mar-09,15107 ,23930 
23,Lithuania,13-Mar-09,21151 ,52728 
24,Middle East Other,5-Mar-09,,
25,Netherlands,5-Mar-09,539655 ,1524786 
26,Nigeria,6-Mar-09,6126 ,15896 
27,Norway,6-Mar-09,300538 ,936115 
28,Poland,6-Mar-09,169116 ,388026 
29,Portugal,5-Mar-09,230420 ,522113 
30,Romania,6-Mar-09,,162159 
31,Serbia,16-Apr-09,,
32,Slovakia,5-Mar-09,23043 ,60746 
33,Slovenia,19-Mar-09,9748 ,46397 
34,South Africa,6-Mar-09,110662 ,460229 
35,South Africa/Nigeria,6-Mar-09,,360528 
36,Spain,6-Mar-09,1938521 ,4316109 
37,Sweden,13-Mar-09,291367 ,1115137 
38,Switzerland,4-Mar-09,245838 ,605706 
39,Turkey,6-Mar-09,193849 ,617618 
40,Ukraine,5-Mar-09,214784 ,443139 
41,United Arab Emirates,5-Mar-09,341873 ,506821 
42,United Kingdom of Great Britain and Northern Ireland,6-Mar-09,4540550 ,13610059 
45,Argentina,5-Mar-09,183933 ,431855 
46,Bolivia (Plurinational State of),11-Jun-09,8711 ,20437 
47,Brazil,6-Mar-09,767271 ,1987525 
48,Central America,6-Mar-09,,84100 
49,Central America+,6-Mar-09,,304342 
50,Chile,5-Mar-09,73117 ,214235 
51,Colombia,6-Mar-09,83940 ,257421 
52,Ecuador,6-Mar-09,,116082 
53,Mexico,6-Mar-09,717056 ,2295796 
54,Peru,5-Mar-09,145773 ,361905 
55,Uruguay,17-Apr-09,5390 ,13224 
56,Venezuela (Bolivarian Republic of),6-Mar-09,153193 ,540329 
59,Australia,5-Mar-09,2293099 ,6152116 
60,Hong Kong,12-Mar-09,349822 ,781728 
61,India,27-Mar-09,,144585 
62,Indonesia,22-Apr-09,152848 ,351839 
63,Japan,28-Mar-09,1126244 ,4035072 
64,Malaysia,5-Mar-09,362290 ,772763 
65,New Zealand,5-Mar-09,311861 ,907965 
66,Pakistan,6-Mar-09,,13492 
67,Philippines,6-Mar-09,355357 ,850163 
68,Russian Federation,5-Mar-09,2602357 ,5472197 
69,Singapore,5-Mar-09,369279 ,715880 
70,"Korea, Republic of",5-Mar-09,1177304 ,3053729 
71,"Taiwan, Province of China",7-Mar-09,282898 ,648733 
72,Thailand,5-Mar-09,353613 ,750406 
73,Viet Nam,20-Mar-09,,
