,Market,Date,Opening,Gross
1,United States of America,27-Apr-18,257698183 ,678815482 
4,Austria,26-Apr-18,1886847 ,5690732 
5,Belgium,25-Apr-18,1854939 ,5654123 
6,Bulgaria,27-Apr-18,319492 ,982669 
7,Croatia,26-Apr-18,281454 ,769917 
8,Czechia,26-Apr-18,1674394 ,4400723 
9,Denmark,25-Apr-18,2950623 ,6853155 
10,Finland,25-Apr-18,1437118 ,3376481 
11,France,25-Apr-18,17645304 ,47689983 
12,Germany,26-Apr-18,15301422 ,45398141 
13,Greece,26-Apr-18,1046575 ,2820813 
14,Hungary,26-Apr-18,1228462 ,3172176 
15,Iceland,27-Apr-18,216702 ,688359 
16,Italy,25-Apr-18,7384164 ,22837545 
17,Lithuania,27-Apr-18,160693 ,406233 
18,Netherlands,25-Apr-18,3830456 ,10430994 
19,Norway,25-Apr-18,1620456 ,5693803 
20,Poland,26-Apr-18,2563813 ,7367423 
21,Portugal,26-Apr-18,1175436 ,2823586 
22,Romania,27-Apr-18,822798 ,2494062 
23,Serbia,3-May-18,,280036 
24,Slovakia,26-Apr-18,605120 ,1304762 
25,Slovenia,26-Apr-18,109785 ,325818 
26,South Africa,27-Apr-18,2050302 ,5552131 
27,Spain,27-Apr-18,8637415 ,24809385 
28,Sweden,25-Apr-18,3749830 ,8074716 
29,Switzerland,25-Apr-18,2083416 ,5553658 
30,Turkey,27-Apr-18,2566580 ,5696347 
31,Ukraine,26-Apr-18,1372912 ,3654152 
32,United Arab Emirates,26-Apr-18,,10070159 
33,United Kingdom of Great Britain and Northern Ireland,26-Apr-18,41447361 ,96640433 
36,Argentina,26-Apr-18,5437240 ,8064697 
37,Bolivia (Plurinational State of),26-Apr-18,913486 ,3166034 
38,Brazil,26-Apr-18,19062450 ,66684469 
39,Chile,26-Apr-18,4525397 ,14607578 
40,Colombia,26-Apr-18,4682630 ,13268925 
41,Mexico,27-Apr-18,25382566 ,60058771 
42,Paraguay,26-Apr-18,433387 ,1114669 
43,Uruguay,26-Apr-18,307882 ,816628 
44,Venezuela (Bolivarian Republic of),27-Apr-18,1787030 ,6093475 
47,Australia,25-Apr-18,16101807 ,46825158 
48,Hong Kong,25-Apr-18,,20585253 
49,India,27-Apr-18,18464603 ,43594456 
50,Indonesia,25-Apr-18,11414539 ,25288929 
51,Japan,27-Apr-18,9075979 ,33881648 
52,Malaysia,25-Apr-18,8387335 ,17325511 
53,New Zealand,25-Apr-18,2748779 ,7092223 
54,Philippines,25-Apr-18,12500128 ,23295180 
55,Russian Federation,3-May-18,18193251 ,34597189 
56,Singapore,25-Apr-18,4679612 ,12195638 
57,"Korea, Republic of",25-Apr-18,39173384 ,88506046 
58,"Taiwan, Province of China",25-Apr-18,9803289 ,21588140 
59,Thailand,25-Apr-18,9941722 ,17944798 
62,China,11-May-18,191034859 ,359543153 
