Year,Rank,Movie,Worldwide,Domestic,%Domestic,Foreign,%Foreign
2019,1,Avengers: Endgame,"$2,797,800,564 ","$858,373,000 ",30.70%,"$1,939,427,564 ",69.30%
2019,2,The Lion King,"$1,655,146,969 ","$543,486,894 ",32.80%,"$1,111,660,075 ",67.20%
2019,3,Spider-Man: Far from Home,"$1,131,845,802 ","$390,532,085 ",34.50%,"$741,313,717 ",65.50%
2019,4,Captain Marvel,"$1,128,274,794 ","$426,829,839 ",37.80%,"$701,444,955 ",62.20%
2019,5,Toy Story 4,"$1,073,163,682 ","$433,952,080 ",40.40%,"$639,211,602 ",59.60%
2019,6,Aladdin,"$1,050,693,953 ","$355,559,216 ",33.80%,"$695,134,737 ",66.20%
2019,7,Joker,"$988,735,635 ","$315,735,635 ",31.90%,"$673,000,000 ",68.10%
2019,8,Fast & Furious Presents: Hobbs & Shaw,"$758,910,100 ","$173,810,100 ",22.90%,"$585,100,000 ",77.10%
2019,9,Ne Zha,"$700,547,754 ","$3,695,533 ",0.50%,"$696,852,221 ",99.50%
2019,10,The Wandering Earth,"$699,760,773 ","$5,875,487 ",0.80%,"$693,885,286 ",99.20%
2019,11,How to Train Your Dragon: The Hidden World,"$519,896,648 ","$160,799,505 ",30.90%,"$359,097,143 ",69.10%
2019,12,It Chapter Two,"$462,519,656 ","$211,419,656 ",45.70%,"$251,100,000 ",54.30%
2019,13,Maleficent: Mistress of Evil,"$434,181,232 ","$100,012,127 ",23%,"$334,169,105 ",77%
2019,14,Pokémon Detective Pikachu,"$431,705,346 ","$144,105,346 ",33.40%,"$287,600,000 ",66.60%
2019,15,The Secret Life of Pets 2,"$429,434,163 ","$158,257,265 ",36.90%,"$271,176,898 ",63.10%
2019,16,"My People, My Country","$420,105,485 ","$2,356,683 ",0.60%,"$417,748,802 ",99.40%
2019,17,The Captain,"$407,664,445 ","$702,899 ",0.20%,"$406,961,546 ",99.80%
2019,18,Alita: Battle Angel,"$404,852,543 ","$85,710,210 ",21.20%,"$319,142,333 ",78.80%
2019,19,Godzilla: King of the Monsters,"$385,900,138 ","$110,500,138 ",28.60%,"$275,400,000 ",71.40%
2019,20,Once Upon a Time... in Hollywood,"$371,192,152 ","$140,878,766 ",38%,"$230,313,386 ",62%
2019,21,Shazam!,"$364,571,656 ","$140,371,656 ",38.50%,"$224,200,000 ",61.50%
2019,22,Dumbo,"$353,284,621 ","$114,766,307 ",32.50%,"$238,518,314 ",67.50%
2019,23,John Wick: Chapter 3 - Parabellum,"$326,667,460 ","$171,015,687 ",52.40%,"$155,651,773 ",47.60%
2019,24,Us,"$255,105,930 ","$175,005,930 ",68.60%,"$80,100,000 ",31.40%
2019,25,Men in Black: International,"$253,890,701 ","$80,001,807 ",31.50%,"$173,888,894 ",68.50%
2019,26,Dark Phoenix,"$252,442,974 ","$65,845,974 ",26.10%,"$186,597,000 ",73.90%
2019,27,Glass,"$246,985,576 ","$111,035,005 ",45%,"$135,950,571 ",55%
2019,28,The Bravest,"$238,004,304 ","$290,217 ",0.10%,"$237,714,087 ",99.90%
2019,29,Annabelle Comes Home,"$228,552,591 ","$74,152,591 ",32.40%,"$154,400,000 ",67.60%
2019,30,Terminator: Dark Fate,"$202,941,367 ","$51,164,755 ",25.20%,"$151,776,612 ",74.80%
2019,31,Better Days,"$198,809,935 ","$989,536 ",0.50%,"$197,820,399 ",99.50%
2019,32,Rocketman,"$195,179,299 ","$96,368,160 ",49.40%,"$98,811,139 ",50.60%
2019,33,The Lego Movie 2: The Second Part,"$191,306,508 ","$105,806,508 ",55.30%,"$85,500,000 ",44.70%
2019,34,The White Storm 2: Drug Lords,"$188,092,373 ","$609,461 ",0.30%,"$187,482,912 ",99.70%
2019,35,Downton Abbey,"$182,050,075 ","$95,850,075 ",52.70%,"$86,200,000 ",47.30%
2019,36,Gemini Man,"$169,257,846 ","$48,135,938 ",28.40%,"$121,121,908 ",71.60%
2019,37,Abominable,"$167,457,510 ","$59,357,510 ",35.40%,"$108,100,000 ",64.60%
2019,38,The Addams Family,"$156,747,127 ","$92,647,127 ",59.10%,"$64,100,000 ",40.90%
2019,39,Escape Room,"$155,712,077 ","$57,005,601 ",36.60%,"$98,706,476 ",63.40%
2019,40,The Climbers,"$153,782,355 ","$487,157 ",0.30%,"$153,295,198 ",99.70%
2019,41,Yesterday,"$151,286,650 ","$73,286,650 ",48.40%,"$78,000,000 ",51.60%
2019,42,The Angry Birds Movie 2,"$145,678,023 ","$41,657,076 ",28.60%,"$104,020,947 ",71.40%
2019,43,Hustlers,"$144,990,084 ","$104,690,084 ",72.20%,"$40,300,000 ",27.80%
2019,44,Angel Has Fallen,"$133,365,452 ","$69,030,436 ",51.80%,"$64,335,016 ",48.20%
2019,45,Ad Astra,"$126,992,864 ","$50,005,312 ",39.40%,"$76,987,552 ",60.60%
2019,46,Looking Up,"$122,994,583 ","$84,267 ",<0.1%,"$122,910,316 ",99.90%
2019,47,The Upside,"$122,752,517 ","$108,252,517 ",88.20%,"$14,500,000 ",11.80%
2019,48,The Curse of La Llorona,"$122,133,739 ","$54,733,739 ",44.80%,"$67,400,000 ",55.20%
2019,49,Extreme Job,"$119,932,733 ","$1,565,885 ",1.30%,"$118,366,848 ",98.70%
2019,50,Wonder Park,"$119,559,110 ","$45,216,793 ",37.80%,"$74,342,317 ",62.20%
2019,51,P Storm,"$117,991,727 ","$326,711 ",0.30%,"$117,665,016 ",99.70%
2019,52,Dora and the Lost City of Gold,"$116,826,172 ","$60,477,943 ",51.80%,"$56,348,229 ",48.20%
2019,53,Pet Sematary,"$112,399,944 ","$54,724,696 ",48.70%,"$57,675,248 ",51.30%
2019,54,Good Boys,"$110,883,070 ","$83,083,070 ",74.90%,"$27,800,000 ",25.10%
2019,55,Parasite,"$107,493,062 ","$11,318,741 ",10.50%,"$96,174,321 ",89.50%
2019,56,Zombieland: Double Tap,"$102,825,907 ","$67,763,112 ",65.90%,"$35,062,795 ",34.10%
2019,57,Line Walker 2: Invisible Spy,"$99,482,027 ","$296,751 ",0.30%,"$99,185,276 ",99.70%
2019,58,Scary Stories to Tell in the Dark,"$95,677,760 ","$68,947,075 ",72.10%,"$26,730,685 ",27.90%
2019,59,The Hustle,"$95,017,038 ","$35,417,038 ",37.30%,"$59,600,000 ",62.70%
2019,60,Five Feet Apart,"$91,528,689 ","$45,729,221 ",50%,"$45,799,468 ",50%
2019,61,Crawl,"$90,510,445 ","$39,014,193 ",43.10%,"$51,496,252 ",56.90%
2019,62,Rambo: Last Blood,"$86,967,911 ","$44,745,467 ",51.50%,"$42,222,444 ",48.50%
2019,63,One Piece: Stampede,"$79,885,414 ","$1,298,528 ",1.60%,"$78,586,886 ",98.40%
2019,64,Cold Pursuit,"$76,419,755 ","$32,138,862 ",42.10%,"$44,280,893 ",57.90%
2019,65,A Dog's Way Home,"$76,087,556 ","$42,004,346 ",55.20%,"$34,083,210 ",44.80%
2019,66,A Madea Family Funeral,"$74,747,725 ","$73,257,045 ",98%,"$1,490,680 ",2%
2019,67,What Men Want,"$72,216,294 ","$54,611,903 ",75.60%,"$17,604,391 ",24.40%
2019,68,A Dog's Journey,"$71,746,590 ","$22,546,590 ",31.40%,"$49,200,000 ",68.60%
2019,69,Exit,"$69,869,487 ","$470,699 ",0.70%,"$69,398,788 ",99.30%
2019,70,After,"$69,497,587 ","$12,138,565 ",17.50%,"$57,359,022 ",82.50%
2019,71,War,"$67,179,155 ","$4,654,000 ",6.90%,"$62,525,155 ",93.10%
2019,72,Happy Death Day 2U,"$64,503,067 ","$28,051,045 ",43.50%,"$36,452,022 ",56.50%
2019,73,Ma,"$60,582,764 ","$45,373,120 ",74.90%,"$15,209,644 ",25.10%
2019,74,Ready or Not,"$57,147,559 ","$28,714,231 ",50.20%,"$28,433,328 ",49.80%
2019,75,Long Shot,"$53,410,558 ","$30,316,271 ",56.80%,"$23,094,287 ",43.20%
2019,76,Breakthrough,"$50,444,358 ","$40,713,082 ",80.70%,"$9,731,276 ",19.30%
2019,77,Little,"$48,800,575 ","$40,673,960 ",83.30%,"$8,126,615 ",16.70%
2019,78,Isn't It Romantic,"$48,791,187 ","$48,791,187 ",100%,-,-
2019,79,Chasing the Dragon II: Wild Wild Bunch,"$45,733,356 ","$196,634 ",0.40%,"$45,536,722 ",99.60%
2019,80,Child's Play,"$44,902,237 ","$29,208,403 ",65%,"$15,693,834 ",35%
2019,81,Hellboy,"$44,664,690 ","$21,903,748 ",49%,"$22,760,942 ",51%
2019,82,Midway,"$42,186,561 ","$23,574,563 ",55.90%,"$18,611,998 ",44.10%
2019,83,Midsommar,"$41,084,036 ","$27,426,361 ",66.80%,"$13,657,675 ",33.20%
2019,84,Fighting with My Family,"$39,058,886 ","$22,958,886 ",58.80%,"$16,100,000 ",41.20%
2019,85,47 Meters Down: Uncaged,"$38,912,179 ","$22,260,746 ",57.20%,"$16,651,433 ",42.80%
2019,86,Doctor Sleep,"$36,695,840 ","$17,195,840 ",46.90%,"$19,500,000 ",53.10%
2019,87,The Intruder,"$36,599,361 ","$35,419,122 ",96.80%,"$1,180,239 ",3.20%
2019,88,Overcomer,"$35,708,893 ","$34,700,142 ",97.20%,"$1,008,751 ",2.80%
2019,89,Judy,"$35,442,585 ","$23,488,450 ",66.30%,"$11,954,135 ",33.70%
2019,90,Pain & Glory,"$34,193,642 ","$2,793,642 ",8.20%,"$31,400,000 ",91.80%
2019,91,Bad Guys: The Movie,"$34,024,386 ","$166,972 ",0.50%,"$33,857,414 ",99.50%
2019,92,The Art of Racing in the Rain,"$33,766,787 ","$26,395,642 ",78.20%,"$7,371,145 ",21.80%
2019,93,Brightburn,"$32,893,421 ","$17,300,439 ",52.60%,"$15,592,982 ",47.40%
2019,94,UglyDolls,"$32,450,241 ","$20,150,241 ",62.10%,"$12,300,000 ",37.90%
2019,95,Stuber,"$32,390,945 ","$22,370,452 ",69.10%,"$10,020,493 ",30.90%
2019,96,The Kid Who Would Be King,"$32,140,970 ","$16,790,790 ",52.20%,"$15,350,180 ",47.80%
2019,97,Anna,"$30,918,726 ","$7,743,794 ",25%,"$23,174,932 ",75%
2019,98,Countdown,"$28,330,051 ","$22,910,051 ",80.90%,"$5,420,000 ",19.10%
2019,99,No manches Frida 2,"$26,493,648 ","$9,270,920 ",35%,"$17,222,728 ",65%
2019,100,Missing Link,"$26,249,469 ","$16,649,539 ",63.40%,"$9,599,930 ",36.60%
2018,1,Avengers: Infinity War,"$2,048,359,754 ","$678,815,482 ",33.10%,"$1,369,544,272 ",66.90%
2018,2,Black Panther,"$1,346,913,161 ","$700,059,566 ",52%,"$646,853,595 ",48%
2018,3,Jurassic World: Fallen Kingdom,"$1,308,467,944 ","$417,719,760 ",31.90%,"$890,748,184 ",68.10%
2018,4,Incredibles 2,"$1,242,805,359 ","$608,581,744 ",49%,"$634,223,615 ",51%
2018,5,Aquaman,"$1,148,161,807 ","$335,061,807 ",29.20%,"$813,100,000 ",70.80%
2018,6,Bohemian Rhapsody,"$903,655,259 ","$216,428,042 ",24%,"$687,227,217 ",76%
2018,7,Venom,"$856,085,151 ","$213,515,506 ",24.90%,"$642,569,645 ",75.10%
2018,8,Mission: Impossible - Fallout,"$791,115,104 ","$220,159,104 ",27.80%,"$570,956,000 ",72.20%
2018,9,Deadpool 2,"$734,546,611 ","$318,491,426 ",43.40%,"$416,055,185 ",56.60%
2018,10,Fantastic Beasts: The Crimes of Grindelwald,"$653,755,901 ","$159,555,901 ",24.40%,"$494,200,000 ",75.60%
2018,11,Ant-Man and the Wasp,"$622,674,139 ","$216,648,740 ",34.80%,"$406,025,399 ",65.20%
2018,12,Ready Player One,"$582,890,172 ","$137,690,172 ",23.60%,"$445,200,000 ",76.40%
2018,13,Operation Red Sea,"$579,220,560 ","$1,543,547 ",0.30%,"$577,677,013 ",99.70%
2018,14,Detective Chinatown 2,"$544,061,916 ","$1,983,984 ",0.40%,"$542,077,932 ",99.60%
2018,15,The Meg,"$530,243,742 ","$145,443,742 ",27.40%,"$384,800,000 ",72.60%
