Domestic,,,
Market,Release Date,Opening,Gross
Domestic,17-Jul-15,"$57,225,526 ","$180,202,163 "
"Europe, Middle East, and Africa",,,
Market,Release Date,Opening,Gross
Austria,23-Jul-15,"$145,525 ","$787,916 "
Belgium,15-Jul-15,"$335,682 ","$1,239,587 "
Bulgaria,10-Jul-15,"$39,262 ","$187,167 "
Croatia,16-Jul-15,"$33,817 ","$164,337 "
Czech Republic,16-Jul-15,"$154,299 ","$618,895 "
Denmark,22-Jul-15,"$313,694 ","$918,472 "
Estonia,17-Jul-15,"$26,824 ","$111,047 "
Finland,22-Jul-15,–,"$595,592 "
France,14-Jul-15,"$3,394,258 ","$13,562,428 "
Germany,23-Jul-15,"$1,684,796 ","$5,917,308 "
Ghana,17-Sep-15,–,"$361,113 "
Greece,17-Sep-15,"$151,531 ","$361,113 "
Iceland,16-Jul-16,–,"$183,341 "
Israel,16-Jul-15,"$374,652 ","$1,336,529 "
Italy,12-Aug-15,"$1,739,972 ","$5,290,741 "
Jordan,30-Jul-15,"$86,453 ","$206,685 "
Kenya,17-Jul-15,"$40,043 ","$118,525 "
Latvia,31-Jul-15,"$18,755 ","$57,263 "
Lebanon,30-Jul-15,"$135,507 ","$337,940 "
Lithuania,17-Jul-15,"$16,216 ","$59,705 "
Netherlands,23-Jul-15,"$958,574 ","$1,850,753 "
Nigeria,17-Jul-15,"$70,578 ","$96,199 "
Norway,22-Jul-15,"$344,303 ","$1,363,039 "
Poland,17-Jul-15,"$266,417 ","$1,300,023 "
Portugal,16-Jul-15,"$230,449 ","$789,416 "
Serbia and Montenegro,16-Jul-15,"$11,909 ","$66,156 "
Slovakia,16-Jul-15,"$47,104 ","$146,223 "
Slovenia,17-Jul-15,"$8,037 ","$35,601 "
South Africa,31-Jul-15,"$276,042 ","$748,336 "
Spain,24-Jul-15,"$912,543 ","$4,146,982 "
Sweden,22-Jul-15,"$547,623 ","$2,138,644 "
Switzerland,15-Jul-15,–,"$343,811 "
Switzerland (French),15-Jul-15,"$135,603 ","$389,498 "
Switzerland (German),23-Jul-15,"$215,867 ","$528,386 "
Ukraine,16-Jul-15,"$311,026 ","$848,150 "
United Arab Emirates,,"$16,586 ","$2,887,816 "
United Kingdom,17-Jul-15,"$6,262,540 ","$25,190,193 "
Latin America,,,
Market,Release Date,Opening,Gross
Argentina,16-Jul-15,"$1,059,637 ","$4,126,139 "
Bolivia,16-Jul-15,"$188,672 ","$589,218 "
Brazil,16-Jul-15,"$3,889,903 ","$12,431,089 "
Chile,16-Jul-15,"$503,674 ","$1,280,378 "
Colombia,16-Jul-15,"$855,316 ","$1,872,949 "
Ecuador,17-Jul-15,"$465,682 ","$1,354,260 "
Mexico,17-Jul-15,"$5,341,983 ","$15,100,000 "
Peru,16-Jul-15,"$1,031,667 ","$2,883,625 "
Uruguay,16-Jul-15,"$47,217 ","$94,883 "
Venezuela,15-Jul-15,"$1,036,596 ","$6,781,787 "
Asia Pacific,,,
Market,Release Date,Opening,Gross
Australia,16-Jul-15,"$3,944,593 ","$10,901,077 "
Hong Kong,16-Jul-15,"$2,350,298 ","$6,992,049 "
India,24-Jul-15,"$949,679 ","$1,629,855 "
Japan,19-Sep-15,"$1,669,832 ","$9,670,913 "
Malaysia,16-Jul-15,"$2,568,361 ","$6,747,317 "
New Zealand,17-Jul-15,"$686,690 ","$707,807 "
Philippines,15-Jul-15,"$2,829,388 ","$5,243,134 "
Russia/CIS,17-Jul-15,"$4,709,025 ","$11,500,000 "
Singapore,16-Jul-15,"$2,013,434 ","$4,514,252 "
South Korea,3-Sep-15,–,"$21,120,665 "
Taiwan,16-Jul-15,"$2,944,496 ","$11,100,000 "
Thailand,15-Jul-15,"$1,373,970 ","$3,341,724 "
Vietnam,24-Jul-15,"$644,555 ","$2,054,218 "
China,,,
Market,Release Date,Opening,Gross
China,16-Oct-15,–,"$105,370,038 "
