Domestic,,,
Market,Release Date,Opening,Gross
Domestic,6-Jul-18,"$75,812,205 ","$216,648,740 "
"Europe, Middle East, and Africa",,,
Market,Release Date,Opening,Gross
Austria,26-Jul-18,"$297,042 ","$1,518,401 "
Belgium,18-Jul-18,"$328,439 ","$1,327,697 "
Bulgaria,6-Jul-18,"$67,999 ","$226,090 "
Croatia,5-Jul-18,"$51,101 ","$175,516 "
Czech Republic,5-Jul-18,"$327,044 ","$1,174,057 "
Denmark,4-Jul-18,"$348,717 ","$1,067,087 "
Finland,4-Jul-18,"$342,234 ","$768,487 "
France,18-Jul-18,"$4,122,349 ","$14,715,801 "
Germany,26-Jul-18,"$2,489,038 ","$9,424,892 "
Greece,5-Jul-18,"$148,374 ","$507,445 "
Hungary,26-Jul-18,"$454,866 ","$988,917 "
Iceland,6-Jul-18,"$50,716 ","$233,790 "
Italy,14-Aug-18,"$1,340,247 ","$5,815,017 "
Lithuania,6-Jul-18,"$28,201 ","$93,014 "
Netherlands,18-Jul-18,"$668,960 ","$2,655,111 "
Norway,4-Jul-18,"$262,901 ","$1,428,924 "
Poland,3-Aug-18,"$625,004 ","$2,431,877 "
Portugal,16-Aug-18,"$316,521 ","$903,713 "
Romania,6-Jul-18,"$233,647 ","$721,491 "
Slovakia,5-Jul-18,"$126,762 ","$348,420 "
Slovenia,5-Jul-18,"$17,712 ","$74,081 "
South Africa,6-Jul-18,"$363,720 ","$1,351,446 "
Spain,4-Jul-18,"$2,319,456 ","$6,869,063 "
Sweden,4-Jul-18,"$603,166 ","$1,967,173 "
Switzerland,18-Jul-18,"$110,488 ","$1,256,245 "
Turkey,6-Jul-18,"$476,737 ","$1,108,544 "
Ukraine,5-Jul-18,"$588,308 ","$1,373,800 "
United Arab Emirates,5-Jul-18,–,"$3,233,078 "
United Kingdom,2-Aug-18,"$4,880,620 ","$22,941,205 "
Latin America,,,
Market,Release Date,Opening,Gross
Argentina,5-Jul-18,"$1,031,384 ","$2,250,863 "
Bolivia,5-Jul-18,"$201,259 ","$715,760 "
Brazil,5-Jul-18,"$3,545,626 ","$13,010,094 "
Chile,5-Jul-18,"$675,422 ","$2,464,969 "
Colombia,5-Jul-18,"$1,298,599 ","$2,900,411 "
Mexico,5-Jul-18,"$6,753,487 ","$14,955,084 "
Paraguay,5-Jul-18,"$63,594 ","$165,264 "
Uruguay,5-Jul-18,"$62,704 ","$131,780 "
Venezuela,6-Jul-18,"$630,855 ","$3,433,189 "
Asia Pacific,,,
Market,Release Date,Opening,Gross
Australia,5-Jul-18,"$4,318,895 ","$14,706,863 "
Hong Kong,4-Jul-18,–,"$7,663,339 "
India,13-Jul-18,"$3,541,271 ","$6,399,126 "
Indonesia,4-Jul-18,"$5,748,107 ","$10,005,439 "
Japan,31-Aug-18,"$2,900,593 ","$11,595,269 "
Malaysia,4-Jul-18,"$3,024,582 ","$5,709,793 "
New Zealand,5-Jul-18,"$544,350 ","$1,977,609 "
Philippines,4-Jul-18,"$3,105,699 ","$5,818,634 "
Russia/CIS,5-Jul-18,"$5,369,291 ","$13,024,266 "
Singapore,4-Jul-18,"$1,805,513 ","$4,089,037 "
South Korea,4-Jul-18,"$20,905,990 ","$42,384,003 "
Taiwan,4-Jul-18,"$4,626,311 ","$9,715,007 "
Thailand,4-Jul-18,"$2,928,246 ","$5,200,914 "
China,,,
Market,Release Date,Opening,Gross
China,24-Aug-18,"$66,664,063 ","$121,203,074 "
