Domestic,,,
Market,Release Date,Opening,Gross
Domestic,6-May-16,"$179,139,142 ","$408,084,349 "
"Europe, Middle East, and Africa",,,
Market,Release Date,Opening,Gross
Austria,28-Apr-16,–,"$2,844,970 "
Belgium,27-Apr-16,–,"$2,489,851 "
Bulgaria,29-Apr-16,"$185,804 ","$516,255 "
Czech Republic,5-May-16,"$584,798 ","$1,459,184 "
Denmark,28-Apr-16,–,"$3,084,144 "
Finland,27-Apr-16,"$235,310 ","$1,431,062 "
France,27-Apr-16,"$9,414,467 ","$23,219,052 "
Germany,28-Apr-16,"$7,195,619 ","$21,770,093 "
Iceland,29-Apr-16,"$119,469 ","$337,237 "
Italy,4-May-16,"$5,404,759 ","$12,963,449 "
Lithuania,6-May-16,"$57,126 ","$136,836 "
Netherlands,28-Apr-16,"$1,661,826 ","$4,388,326 "
Norway,27-Apr-16,"$854,440 ","$2,520,919 "
Poland,6-May-16,"$893,695 ","$2,691,473 "
Portugal,28-Apr-16,"$453,864 ","$1,528,426 "
Romania,6-May-16,"$495,254 ","$1,162,072 "
Slovakia,5-May-16,"$225,887 ","$486,912 "
Slovenia,6-May-16,"$48,960 ","$104,910 "
South Africa,29-Apr-16,"$1,053,420 ","$2,132,347 "
Spain,29-Apr-16,"$4,254,431 ","$11,354,178 "
Sweden,27-Apr-16,–,"$3,606,960 "
Switzerland,27-Apr-16,–,"$3,020,845 "
Switzerland (French),27-Apr-16,"$291,680 ","$752,167 "
Switzerland (German),27-Apr-16,"$691,331 ","$1,793,551 "
Turkey,6-May-16,"$2,133,429 ","$5,051,436 "
Ukraine,5-May-16,"$772,905 ","$1,429,130 "
United Arab Emirates,5-May-16,"$3,268,977 ","$5,963,288 "
United Kingdom,29-Apr-16,"$21,146,409 ","$53,779,860 "
Latin America,,,
Market,Release Date,Opening,Gross
Argentina,5-May-16,"$3,555,979 ","$8,314,077 "
Brazil,28-Apr-16,"$11,984,952 ","$40,802,843 "
Chile,28-Apr-16,–,"$6,784,327 "
Colombia,28-Apr-16,–,"$7,072,395 "
Mexico,29-Apr-16,"$20,472,106 ","$41,420,350 "
Venezuela,,"$6,273 ","$1,947,286 "
Asia Pacific,,,
Market,Release Date,Opening,Gross
Australia,28-Apr-16,"$10,622,362 ","$25,200,229 "
Hong Kong,27-Apr-16,–,"$15,473,511 "
India,,–,"$12,094,000 "
Japan,29-Apr-16,"$4,222,504 ","$24,366,759 "
Malaysia,28-Apr-16,–,"$10,685,000 "
New Zealand,5-May-16,"$1,426,902 ","$1,406,107 "
Philippines,27-Apr-16,–,"$14,195,000 "
Russia/CIS,5-May-16,"$9,432,929 ","$16,557,300 "
Singapore,28-Apr-16,–,"$8,396,857 "
South Korea,27-Apr-16,"$21,044,001 ","$62,859,896 "
Taiwan,27-Apr-16,–,"$16,397,475 "
Thailand,27-Apr-16,"$3,761,449 ","$11,956,000 "
China,,,
Market,Release Date,Opening,Gross
China,6-May-16,"$93,640,448 ","$180,794,517 "
