Domestic,,,
Market,Release Date,Opening,Gross
Domestic,4-Nov-16,"$85,058,311 ","$232,641,920 "
"Europe, Middle East, and Africa",,,
Market,Release Date,Opening,Gross
Austria,27-Oct-16,"$669,391 ","$2,146,709 "
Belgium,26-Oct-16,"$514,027 ","$1,893,163 "
Bulgaria,4-Nov-16,"$160,970 ","$544,989 "
Czech Republic,27-Oct-16,"$457,541 ","$1,296,133 "
Denmark,28-Oct-16,"$667,880 ","$2,285,111 "
Finland,26-Oct-16,"$440,472 ","$1,293,064 "
France,26-Oct-16,"$5,804,619 ","$15,688,092 "
Germany,27-Oct-16,"$4,951,360 ","$17,402,095 "
Greece,27-Oct-16,"$426,088 ","$1,175,663 "
Hungary,3-Nov-16,"$489,288 ","$1,205,704 "
Iceland,28-Oct-16,"$79,208 ","$289,348 "
Italy,27-Oct-16,"$2,669,141 ","$8,087,311 "
Lithuania,28-Oct-16,"$46,649 ","$178,354 "
Netherlands,27-Oct-16,"$1,018,959 ","$3,614,533 "
Norway,4-Nov-16,"$583,328 ","$1,725,391 "
Poland,26-Oct-16,"$767,453 ","$2,463,489 "
Portugal,27-Oct-16,"$287,835 ","$954,007 "
Romania,4-Nov-16,"$493,069 ","$1,499,057 "
Slovakia,3-Nov-16,"$182,160 ","$389,195 "
Slovenia,4-Nov-16,"$35,524 ","$86,007 "
South Africa,4-Nov-16,"$324,677 ","$1,158,119 "
Spain,28-Oct-16,"$2,130,129 ","$6,975,576 "
Sweden,28-Oct-16,"$856,746 ","$3,140,938 "
Switzerland,26-Oct-16,"$664,319 ","$2,379,075 "
Turkey,4-Nov-16,–,"$3,202,816 "
Ukraine,27-Oct-16,"$725,057 ","$2,431,951 "
United Arab Emirates,3-Nov-16,"$1,452,342 ","$3,433,126 "
United Kingdom,25-Oct-16,"$11,325,184 ","$28,547,412 "
Latin America,,,
Market,Release Date,Opening,Gross
Argentina,24-Nov-16,"$967,579 ","$3,460,732 "
Bolivia,3-Nov-16,"$192,244 ","$691,322 "
Brazil,2-Nov-16,"$5,545,170 ","$22,746,665 "
Chile,3-Nov-16,"$837,239 ","$2,548,326 "
Colombia,3-Nov-16,"$1,013,777 ","$3,131,814 "
Mexico,28-Oct-16,"$4,608,705 ","$13,587,076 "
Paraguay,3-Nov-16,"$59,004 ","$166,117 "
Peru,26-Oct-16,–,"$2,457,332 "
Uruguay,3-Nov-16,"$52,025 ","$165,003 "
Venezuela,4-Nov-16,"$276,000 ","$1,680,938 "
Asia Pacific,,,
Market,Release Date,Opening,Gross
Australia,27-Oct-16,"$4,922,741 ","$15,902,123 "
Hong Kong,27-Oct-16,"$3,273,931 ","$8,172,143 "
India,4-Nov-16,"$2,073,301 ","$5,174,482 "
Japan,27-Jan-17,"$3,423,516 ","$16,390,905 "
Malaysia,27-Oct-16,"$2,359,478 ","$5,863,005 "
New Zealand,27-Oct-16,"$745,910 ","$2,221,423 "
Philippines,26-Oct-16,"$2,703,516 ","$6,208,092 "
Russia/CIS,28-Oct-16,"$2,962,819 ","$22,318,675 "
Singapore,27-Oct-16,"$2,118,218 ","$5,382,107 "
South Korea,26-Oct-16,"$18,037,210 ","$41,325,970 "
Taiwan,26-Oct-16,"$4,287,734 ","$9,496,024 "
Thailand,27-Oct-16,"$2,609,429 ","$5,029,805 "
China,,,
Market,Release Date,Opening,Gross
China,4-Nov-16,"$43,666,292 ","$109,194,913 "
