Domestic,,,
Market,Release Date,Opening,Gross
Domestic,5-May-17,"$146,510,104 ","$389,813,101 "
"Europe, Middle East, and Africa",,,
Market,Release Date,Opening,Gross
Austria,27-Apr-17,"$1,188,341 ","$3,450,633 "
Belgium,26-Apr-17,"$695,950 ","$2,548,187 "
Bulgaria,5-May-17,"$139,664 ","$394,221 "
Czech Republic,4-May-17,"$700,218 ","$1,794,331 "
Denmark,27-Apr-17,"$1,237,800 ","$3,287,701 "
Finland,26-Apr-17,"$275,534 ","$1,534,857 "
France,26-Apr-17,"$7,935,709 ","$24,809,137 "
Germany,27-Apr-17,"$9,334,987 ","$30,165,433 "
Greece,4-May-17,"$257,522 ","$627,157 "
Hungary,4-May-17,"$512,531 ","$1,713,606 "
Iceland,28-Apr-17,"$156,737 ","$473,545 "
Italy,25-Apr-17,"$2,393,328 ","$7,900,157 "
Lithuania,28-Apr-17,"$66,619 ","$175,393 "
Netherlands,27-Apr-17,"$1,535,867 ","$4,387,796 "
Norway,26-Apr-17,"$625,582 ","$2,467,458 "
Poland,5-May-17,"$1,213,653 ","$3,247,124 "
Portugal,27-Apr-17,"$354,716 ","$995,552 "
Romania,5-May-17,"$439,369 ","$1,145,604 "
Slovakia,4-May-17,"$250,538 ","$600,083 "
Slovenia,4-May-17,"$41,396 ","$121,461 "
South Africa,5-May-17,"$616,720 ","$1,545,351 "
Spain,28-Apr-17,"$3,569,904 ","$10,314,253 "
Sweden,26-Apr-17,"$1,732,438 ","$4,499,986 "
Switzerland,25-Apr-17,"$1,076,918 ","$3,151,067 "
Turkey,28-Apr-17,"$538,318 ","$1,525,166 "
Ukraine,4-May-17,"$992,983 ","$2,341,243 "
United Arab Emirates,4-May-17,"$1,449,913 ","$2,900,361 "
United Kingdom,28-Apr-17,"$16,931,115 ","$53,060,497 "
Latin America,,,
Market,Release Date,Opening,Gross
Argentina,4-May-17,"$1,816,851 ","$4,822,234 "
Bolivia,27-Apr-17,"$275,696 ","$1,099,814 "
Brazil,27-Apr-17,"$6,866,688 ","$20,925,686 "
Chile,27-Apr-17,"$994,851 ","$3,154,354 "
Colombia,27-Apr-17,"$1,578,020 ","$3,486,978 "
Mexico,28-Apr-17,"$8,195,948 ","$19,005,245 "
Paraguay,27-Apr-17,"$83,578 ","$221,185 "
Uruguay,27-Apr-17,"$63,095 ","$223,812 "
Venezuela,28-Apr-17,"$962,491 ","$2,480,721 "
Asia Pacific,,,
Market,Release Date,Opening,Gross
Australia,25-Apr-17,"$11,778,839 ","$24,606,483 "
Hong Kong,27-Apr-17,"$1,898,684 ","$4,756,321 "
India,5-May-17,"$1,607,943 ","$3,428,270 "
Indonesia,26-Apr-17,"$3,401,557 ","$7,683,449 "
Japan,12-May-17,"$2,202,300 ","$10,097,680 "
Malaysia,27-Apr-17,"$2,200,231 ","$5,327,621 "
New Zealand,25-Apr-17,"$1,144,536 ","$3,756,100 "
Philippines,26-Apr-17,"$3,179,978 ","$6,316,923 "
Russia/CIS,4-May-17,"$12,057,459 ","$27,881,604 "
Singapore,27-Apr-17,"$1,751,946 ","$4,606,033 "
South Korea,3-May-17,"$6,875,223 ","$20,921,370 "
Taiwan,27-Apr-17,"$2,311,166 ","$4,715,392 "
Thailand,26-Apr-17,"$2,665,190 ","$5,248,385 "
China,,,
Market,Release Date,Opening,Gross
China,5-May-17,"$48,563,935 ","$100,663,260 "
