Domestic,,,
Market,Release Date,Opening,Gross
Domestic,7-May-10,"$128,122,480 ","$312,433,331 "
"Europe, Middle East, and Africa",,,
Market,Release Date,Opening,Gross
Austria,5-May-10,"$419,536 ","$1,357,508 "
Belgium,28-Apr-10,"$727,204 ","$1,890,409 "
Bulgaria,30-Apr-10,"$36,147 ","$138,746 "
Croatia,29-Apr-10,"$58,166 ","$212,418 "
Cyprus,30-Apr-10,–,–
Czech Republic,29-Apr-10,"$161,058 ","$442,253 "
Denmark,29-Apr-10,"$968,371 ","$2,292,730 "
East Africa,7-May-10,"$42,346 ","$122,460 "
Egypt,29-Apr-10,"$108,806 ","$300,567 "
Estonia,30-Apr-10,"$33,030 ","$77,051 "
Finland,5-May-10,"$223,654 ","$796,554 "
France,28-Apr-10,"$9,372,449 ","$19,792,160 "
Germany,6-May-10,"$3,223,268 ","$9,254,348 "
Ghana,11-Jun-10,"$2,989 ","$8,290 "
Greece,29-Apr-10,"$671,465 ","$1,572,625 "
Hungary,29-Apr-10,"$50,132 ","$704,870 "
Iceland,30-Apr-10,"$72,141 ","$198,156 "
Israel,29-Apr-10,"$198,724 ","$684,653 "
Italy,30-Apr-10,"$4,701,280 ","$9,979,666 "
Latvia,30-Apr-10,"$35,246 ","$104,864 "
Lebanon,29-Apr-10,"$66,434 ","$165,313 "
Lithuania,30-Apr-10,"$34,273 ","$97,230 "
Netherlands,28-Apr-10,"$698,020 ","$2,136,565 "
Nigeria,7-May-10,"$21,448 ","$59,572 "
Norway,28-Apr-10,"$747,148 ","$2,463,643 "
Poland,30-Apr-10,"$359,955 ","$1,136,267 "
Portugal,29-Apr-10,"$404,617 ","$1,132,347 "
Romania,30-Apr-10,–,"$466,054 "
Russia,29-Apr-10,–,"$8,672,930 "
Serbia and Montenegro,29-Apr-10,"$6,434 ","$41,653 "
Slovakia,29-Apr-10,"$79,043 ","$202,047 "
Slovenia,29-Apr-10,"$31,250 ","$122,290 "
South Africa,30-Apr-10,"$679,085 ","$2,589,816 "
Spain,30-Apr-10,"$3,517,993 ","$7,601,695 "
Sweden,28-Apr-10,"$527,540 ","$1,968,871 "
Switzerland,28-Apr-10,–,"$318,294 "
Turkey,7-May-10,"$642,384 ","$1,838,197 "
Ukraine,29-Apr-10,"$506,945 ","$1,199,098 "
United Arab Emirates,29-Apr-10,"$1,095,019 ","$2,251,242 "
United Kingdom,30-Apr-10,"$11,712,073 ","$30,456,328 "
Latin America,,,
Market,Release Date,Opening,Gross
Argentina,29-Apr-10,"$754,268 ","$2,566,778 "
Bolivia,29-Apr-10,"$91,890 ","$311,086 "
Brazil,30-Apr-10,"$4,867,236 ","$15,835,025 "
Chile,29-Apr-10,"$554,345 ","$1,454,137 "
Colombia,30-Apr-10,"$392,374 ","$1,275,996 "
Ecuador,30-Apr-10,"$401,325 ","$1,243,781 "
Mexico,30-Apr-10,"$7,076,229 ","$18,396,680 "
Panama,30-Apr-10,–,"$883,729 "
Peru,29-Apr-10,"$772,288 ","$1,862,616 "
Uruguay,30-Apr-10,"$19,040 ","$103,005 "
Venezuela,30-Apr-10,"$418,341 ","$1,903,726 "
Asia Pacific,,,
Market,Release Date,Opening,Gross
Australia,29-Apr-10,"$8,792,360 ","$22,418,342 "
Hong Kong,30-Apr-10,"$1,529,782 ","$3,760,485 "
India,7-May-10,–,"$1,232,814 "
Indonesia,30-Apr-10,"$1,632,582 ","$4,487,383 "
Japan,12-Jun-10,"$2,909,452 ","$12,831,962 "
Malaysia,29-Apr-10,"$1,845,352 ","$4,642,633 "
New Zealand,29-Apr-10,"$1,046,284 ","$2,701,225 "
Philippines,30-Apr-10,"$2,353,617 ","$6,252,102 "
Russia/CIS,29-Apr-10,"$7,712,304 ","$14,762,084 "
Singapore,30-Apr-10,"$1,920,023 ","$4,194,650 "
South Korea,29-Apr-10,"$9,466,977 ","$27,095,727 "
Taiwan,1-May-10,"$1,062,203 ","$4,036,495 "
Thailand,29-Apr-10,"$2,157,185 ","$4,618,190 "
Vietnam,7-May-10,–,–
China,,,
Market,Release Date,Opening,Gross
China,7-May-10,–,"$7,919,827 "
