Domestic,,,
Market,Release Date,Opening,Gross
Domestic,6-May-11,"$65,723,338 ","$181,030,624 "
"Europe, Middle East, and Africa",,,
Market,Release Date,Opening,Gross
Austria,27-Apr-11,"$531,607 ","$1,665,346 "
Belgium,27-Apr-11,"$444,944 ","$1,255,410 "
Bulgaria,29-Apr-11,"$157,268 ","$577,677 "
Croatia,28-Apr-11,"$138,960 ","$368,650 "
Cyprus,29-Apr-11,–,–
Czech Republic,28-Apr-11,"$246,626 ","$735,683 "
Denmark,28-Apr-11,–,"$1,529,183 "
East Africa,6-May-11,–,"$50,606 "
Egypt,27-Apr-11,"$51,548 ","$156,908 "
Estonia,29-Apr-11,"$54,254 ","$128,052 "
Finland,6-May-11,"$107,711 ","$418,130 "
France,27-Apr-11,"$8,690,043 ","$18,370,989 "
Germany,28-Apr-11,"$5,390,785 ","$16,007,303 "
Ghana,6-May-11,"$9,218 ","$30,017 "
Greece,28-Apr-11,"$859,139 ","$1,852,788 "
Hungary,28-Apr-11,"$262,875 ","$744,824 "
Iceland,29-Apr-11,"$93,201 ","$261,866 "
Ireland,29-Apr-11,–,–
Israel,28-Apr-11,"$215,170 ","$748,171 "
Italy,27-Apr-11,"$4,195,996 ","$10,900,780 "
Latvia,27-Apr-11,"$34,374 ","$96,627 "
Lebanon,28-Apr-11,"$97,630 ","$282,342 "
Lithuania,6-May-11,"$31,038 ","$74,700 "
Netherlands,28-Apr-11,"$542,287 ","$1,953,880 "
Nigeria,6-May-11,"$37,792 ","$140,960 "
Norway,29-Apr-11,"$579,799 ","$2,026,533 "
Poland,29-Apr-11,"$476,913 ","$1,612,281 "
Portugal,28-Apr-11,"$617,766 ","$1,355,963 "
Romania,29-Apr-11,–,"$772,310 "
Serbia and Montenegro,28-Apr-11,"$9,641 ","$72,757 "
Slovakia,28-Apr-11,"$71,837 ","$193,658 "
Slovenia,28-Apr-11,"$38,951 ","$122,992 "
South Africa,29-Apr-11,"$730,953 ","$2,009,016 "
Spain,29-Apr-11,"$5,584,770 ","$12,440,218 "
Sweden,29-Apr-11,"$623,099 ","$2,294,015 "
Switzerland (French),27-Apr-11,–,–
Switzerland (German),28-Apr-11,–,–
Switzerland (Italian),29-Apr-11,–,–
Turkey,29-Apr-11,"$692,364 ","$2,088,436 "
Ukraine,27-Apr-11,"$450,855 ","$1,477,787 "
United Arab Emirates,28-Apr-11,"$1,097,727 ","$2,066,386 "
United Kingdom,29-Apr-11,"$9,106,603 ","$22,521,717 "
Latin America,,,
Market,Release Date,Opening,Gross
Argentina,28-Apr-11,"$773,327 ","$2,399,738 "
Bolivia,28-Apr-11,"$97,378 ","$370,749 "
Brazil,29-Apr-11,"$5,271,703 ","$12,092,872 "
Chile,28-Apr-11,–,"$1,249,402 "
Colombia,29-Apr-11,"$930,674 ","$2,468,907 "
Ecuador,29-Apr-11,"$374,421 ","$1,281,880 "
Mexico,29-Apr-11,"$7,201,607 ","$19,547,866 "
Panama,29-Apr-11,–,–
Peru,28-Apr-11,"$654,320 ","$1,970,451 "
Uruguay,28-Apr-11,"$21,019 ","$82,485 "
Venezuela,29-Apr-11,"$651,620 ","$2,647,111 "
Asia Pacific,,,
Market,Release Date,Opening,Gross
Australia,21-Apr-11,"$5,752,130 ","$20,135,378 "
Hong Kong,28-Apr-11,"$1,060,507 ","$2,490,495 "
India,29-Apr-11,–,"$1,001,416 "
Indonesia,3-Nov-11,"$106,175 ","$273,076 "
Japan,2-Jul-11,"$1,607,229 ","$5,737,436 "
Malaysia,28-Apr-11,"$1,463,761 ","$3,730,598 "
New Zealand,28-Apr-11,"$671,577 ","$1,900,064 "
Philippines,29-Apr-11,"$1,397,065 ","$4,027,405 "
Russia/CIS,28-Apr-11,"$6,655,893 ","$16,543,455 "
Singapore,28-Apr-11,"$1,777,475 ","$4,250,375 "
South Korea,28-Apr-11,"$5,166,358 ","$14,791,773 "
Taiwan,30-Apr-11,"$1,549,423 ","$5,830,415 "
Thailand,28-Apr-11,"$976,391 ","$2,316,699 "
